2.0000000000,0.0000000000,0.0080168247,0.0000000000,0.0080087185,0.0080075264,0.0000000000,0.0000000000,0.0100486279,0.0100688934,0.0000000000
4.0000000000,0.0100219250,0.0020368099,0.0100090504,0.0020065308,0.0020051003,0.0100209713,0.0080339909,0.0000000000,0.0000000000,0.0100095272
8.0000000000,0.0080475807,0.0100469589,0.0000000000,0.0100178719,0.0100088120,0.0080060959,0.0020391941,0.0101554394,0.0100910664,0.0080063343
16.0000000000,0.0120887756,0.0201077461,0.0180158615,0.0102016926,0.0100138187,0.0120282173,0.0100638866,0.0100831985,0.0100121498,0.0120115280
32.0000000000,0.0204164982,0.0381319523,0.0221028328,0.0202343464,0.0200552940,0.0200519562,0.0301985741,0.0202109814,0.0200936794,0.0201442242
64.0000000000,0.0610232353,0.0521938801,0.0507223606,0.0511281490,0.0606653690,0.0589611530,0.0506713390,0.0507411957,0.0605857372,0.0506789684
128.0000000000,0.1804234982,0.2006499767,0.1907141209,0.2091841698,0.1605451107,0.1629719734,0.1685423851,0.1707808971,0.1607105732,0.1707849503
256.0000000000,0.6155321598,0.5739867687,0.6046745777,0.5855016708,0.5858325958,0.6169507504,0.5834248066,0.5752713680,0.5632336140,0.5752744675
512.0000000000,2.2766890526,2.2538838387,2.3236818314,2.3306922913,2.3028721809,2.2679314613,2.2551150322,2.2771949768,2.1952931881,2.2172267437
1024.0000000000,12.4770433903,12.4584004879,12.6174688339,12.6201014519,12.6353735924,12.2432248592,12.5256152153,12.2477681637,12.0907194614,12.5056238174
2048.0000000000,38.2629930973,38.7684180737,39.1127295494,38.3126187325,38.4032106400,37.6786894798,37.9900984764,38.2539608479,38.7156164646,37.2303836346
4096.0000000000,144.7122006416,144.0226223469,143.4792060852,144.9532971382,143.1794939041,144.0244126320,138.7456645966,141.0764846802,142.3240375519,140.5431835651
8192.0000000000,547.1523282528,545.9824495316,545.2842769623,546.9036433697,539.0975255966,531.4604370594,537.0712134838,537.8672070503,540.5208134651,536.8331654072
